u	RehFC	RehFCgeo
183.	-0.02727505909287097	0.05863513810738497
184.	-0.026567308996105477	0.05972944862324895
185.	-0.019688561397611222	0.0537496070535392
186.	-0.006949912416697156	0.0412736579645957
187.	0.01039503137372626	0.02357267787103107
188.	0.030309113141197677	0.0024564090788993845
189.	0.05024048896880169	-0.01994043574196151
190.	0.06745236029541626	-0.04140232056265221
191.	0.07936477508847108	-0.05987515771805
192.	0.08387000650295291	-0.07367603254886249
193.	0.07959588994831035	-0.08164606116420237
194.	0.06610029712112817	-0.08323181437463976
195.	0.04398212258401913	-0.07849199906918919
196.	0.014892310393254934	-0.06803677693191583
197.	-0.018571506621427702	-0.05291541120678023
198.	-0.05309540196019547	-0.03447268764152596
199.	-0.08499548732364416	-0.014195405744988277
200.	-0.1106465551747565	0.00643234992531965
201.	-0.1269358243883248	0.02605138162841886
202.	-0.1316710471696509	0.04351910927664408
203.	-0.12387516675505729	0.05796850348694964
204.	-0.10391981100633407	0.06883606276872055
205.	-0.07348155796722257	0.07586311494548191
206.	-0.03533836872737471	0.07907551170147949
207.	0.006951073073253241	0.07874644541598638
208.	0.049431283997376126	0.07534635447493494
209.	0.08814666040316944	0.06948334090949197
210.	0.11951288050363858	0.061837588738551684
211.	0.14063882477408393	0.0530939743171168
212.	0.1495835759099933	0.043878098014998604
213.	0.1455346704569852	0.03470182254615647
214.	0.12889115024958503	0.02592452656519193
215.	0.10123413345289026	0.017735273713579216
216.	0.06517423692271651	0.010158848377630574
217.	0.024081147362883998	0.003085357928360334
218.	-0.018277366651546178	-0.003680606423884071
219.	-0.05813911603931168	-0.01035868755177055
220.	-0.09213498489888704	-0.017129197438562564
221.	-0.11760523225297673	-0.024077893492877322
222.	-0.1328075610383842	-0.031158614485019245
223.	-0.137005685241779	-0.03818040775833296
224.	-0.13045121355517872	-0.044821601369271706
225.	-0.11428570756847439	-0.05066857943103855
226.	-0.09039028566683019	-0.05527270480917273
227.	-0.061200082250545476	-0.05821573311749986
228.	-0.029488139098407872	-0.0591727630821795
229.	0.0018831268953761265	-0.05796248580187631
230.	0.03023933851220798	-0.05457702732286324
231.	0.053380606995414186	-0.04918745642596878
232.	0.06983732537025455	-0.042125251128404304
233.	0.07904295588964447	-0.0338438362990872
234.	0.0813750987697354	-0.024867023050537722
235.	0.07803905716549768	-0.015732401424375365
236.	0.07080516670959823	-0.006937436539983336
